guid,label,output
100courics_chunk1_0,Hungarian,Hungarian
100courics_chunk1_1,Hungarian,Hungarian
100courics_chunk1_2,Hungarian,Hungarian
100courics_chunk2_0,Hungarian,Hungarian
100courics_chunk2_1,Hungarian,Hungarian
100courics_chunk2_2,Hungarian,English
100courics_chunk2_3,Hungarian,German
100courics_chunk2_4,Hungarian,Spanish
100courics_chunk3_0,Hungarian,Hungarian
100courics_chunk3_1,Hungarian,Romanian
100courics_chunk3_2,Hungarian,Russian
100courics_chunk4_0,Hungarian,Serbian
100courics_chunk4_1,Hungarian,Romanian
100courics_chunk4_2,Hungarian,Romanian
100courics_chunk5_0,Hungarian,Romanian
100courics_chunk5_1,Hungarian,Romanian
100courics_chunk5_2,Hungarian,Hungarian
100courics_chunk6_0,Hungarian,Romanian
100courics_chunk6_1,Hungarian,Hungarian
100courics_chunk6_2,Hungarian,Hungarian
100courics_chunk7_0,Hungarian,Hungarian
100courics_chunk7_1,Hungarian,Hungarian
100courics_chunk7_2,Hungarian,Hungarian
100courics_chunk7_3,Hungarian,German
100courics_chunk8_0,Hungarian,Hungarian
100courics_chunk8_1,Hungarian,Romanian
100courics_chunk8_2,Hungarian,Romanian
100courics_chunk8_3,Hungarian,Romanian
38B0DE_chunk10_0,Bulgarian,Swedish
38B0DE_chunk10_1,Bulgarian,German
38B0DE_chunk10_2,Bulgarian,German
38B0DE_chunk10_3,Bulgarian,Bulgarian
38B0DE_chunk11_0,Bulgarian,German
38B0DE_chunk11_1,Bulgarian,Bulgarian
38B0DE_chunk11_2,Bulgarian,Romanian
38B0DE_chunk12_0,Bulgarian,Slovenian
38B0DE_chunk12_1,Bulgarian,Slovenian
38B0DE_chunk12_2,Bulgarian,Italian
38B0DE_chunk13_0,Bulgarian,German
38B0DE_chunk13_1,Bulgarian,Bulgarian
38B0DE_chunk13_2,Bulgarian,Finish
38B0DE_chunk13_3,Bulgarian,German
38B0DE_chunk14_0,Bulgarian,Croatian
38B0DE_chunk14_1,Bulgarian,German
38B0DE_chunk14_2,Bulgarian,Finish
38B0DE_chunk15_0,Bulgarian,German
38B0DE_chunk15_1,Bulgarian,Serbian
38B0DE_chunk15_2,Bulgarian,Bulgarian
38B0DE_chunk16_0,Bulgarian,Dutch
38B0DE_chunk16_1,Bulgarian,Bulgarian
38B0DE_chunk16_2,Bulgarian,French
38B0DE_chunk17_0,Bulgarian,Bulgarian
38B0DE_chunk17_1,Bulgarian,German
38B0DE_chunk17_2,Bulgarian,Croatian
38B0DE_chunk1_0,Bulgarian,Bulgarian
38B0DE_chunk1_1,Bulgarian,English
38B0DE_chunk1_2,Bulgarian,Slovenian
38B0DE_chunk2_0,Bulgarian,Hungarian
38B0DE_chunk2_1,Bulgarian,Bulgarian
38B0DE_chunk2_2,Bulgarian,Bulgarian
38B0DE_chunk2_3,Bulgarian,Bulgarian
38B0DE_chunk3_0,Bulgarian,Portuguese
38B0DE_chunk3_1,Bulgarian,German
38B0DE_chunk3_2,Bulgarian,Slovenian
38B0DE_chunk4_0,Bulgarian,Italian
38B0DE_chunk4_1,Bulgarian,Spanish
38B0DE_chunk4_2,Bulgarian,German
38B0DE_chunk4_3,Bulgarian,Bulgarian
38B0DE_chunk5_0,Bulgarian,Bulgarian
38B0DE_chunk5_1,Bulgarian,Romanian
38B0DE_chunk5_2,Bulgarian,Bulgarian
38B0DE_chunk6_0,Bulgarian,Bulgarian
38B0DE_chunk6_1,Bulgarian,German
38B0DE_chunk6_2,Bulgarian,Romanian
38B0DE_chunk6_3,Bulgarian,Bulgarian
38B0DE_chunk7_0,Bulgarian,German
38B0DE_chunk7_1,Bulgarian,Bulgarian
38B0DE_chunk7_2,Bulgarian,Finish
38B0DE_chunk8_0,Bulgarian,German
38B0DE_chunk8_1,Bulgarian,Bulgarian
38B0DE_chunk8_2,Bulgarian,Slovenian
38B0DE_chunk8_3,Bulgarian,German
38B0DE_chunk9_0,Bulgarian,Slovenian
38B0DE_chunk9_1,Bulgarian,German
38B0DE_chunk9_2,Bulgarian,Bulgarian
38B0DE_chunk9_3,Bulgarian,Estonian
4chanSentMeHere_chunk1_0,Russian,Slovenian
4chanSentMeHere_chunk1_1,Russian,Slovenian
4chanSentMeHere_chunk1_2,Russian,Romanian
4chanSentMeHere_chunk1_3,Russian,Slovenian
4chanSentMeHere_chunk1_4,Russian,Croatian
4chanSentMeHere_chunk2_0,Russian,Slovenian
4chanSentMeHere_chunk2_1,Russian,Finish
4chanSentMeHere_chunk2_2,Russian,Dutch
4chanSentMeHere_chunk2_3,Russian,German
4chanSentMeHere_chunk3_0,Russian,Croatian
4chanSentMeHere_chunk3_1,Russian,German
4chanSentMeHere_chunk3_2,Russian,Spanish
4chanSentMeHere_chunk3_3,Russian,German
4chanSentMeHere_chunk3_4,Russian,Bulgarian
4chanSentMeHere_chunk4_0,Russian,Lithuanian
4chanSentMeHere_chunk4_1,Russian,Dutch
4chanSentMeHere_chunk4_2,Russian,German
4chanSentMeHere_chunk4_3,Russian,Spanish
4chanSentMeHere_chunk5_0,Russian,Bulgarian
4chanSentMeHere_chunk5_1,Russian,Dutch
4chanSentMeHere_chunk5_2,Russian,Romanian
4chanSentMeHere_chunk5_3,Russian,German
4chanSentMeHere_chunk5_4,Russian,Slovenian
4chanSentMeHere_chunk6_0,Russian,Russian
4chanSentMeHere_chunk6_1,Russian,Slovenian
4chanSentMeHere_chunk6_2,Russian,Dutch
4chanSentMeHere_chunk7_0,Russian,Slovenian
4chanSentMeHere_chunk7_1,Russian,Slovenian
4chanSentMeHere_chunk7_2,Russian,Romanian
4chanSentMeHere_chunk7_3,Russian,Bulgarian
5225225_chunk10_0,English,Slovenian
5225225_chunk10_1,English,Spanish
5225225_chunk10_2,English,German
5225225_chunk11_0,English,Finish
5225225_chunk11_1,English,Spanish
5225225_chunk11_2,English,Slovenian
5225225_chunk12_0,English,Swedish
5225225_chunk12_1,English,Swedish
5225225_chunk12_2,English,Slovenian
5225225_chunk13_0,English,Croatian
5225225_chunk13_1,English,Slovenian
5225225_chunk13_2,English,Lithuanian
5225225_chunk14_0,English,Slovenian
5225225_chunk14_1,English,Slovenian
5225225_chunk14_2,English,Slovenian
5225225_chunk14_3,English,Slovenian
5225225_chunk15_0,English,Swedish
5225225_chunk15_1,English,Slovenian
5225225_chunk15_2,English,English
5225225_chunk16_0,English,Lithuanian
5225225_chunk16_1,English,Hungarian
5225225_chunk16_2,English,Slovenian
5225225_chunk17_0,English,Slovenian
5225225_chunk17_1,English,Slovenian
5225225_chunk17_2,English,Czech
5225225_chunk17_3,English,Dutch
5225225_chunk1_0,English,Finish
5225225_chunk1_1,English,Slovenian
5225225_chunk1_2,English,Slovenian
5225225_chunk2_0,English,Swedish
5225225_chunk2_1,English,Czech
5225225_chunk2_2,English,Croatian
5225225_chunk3_0,English,Slovenian
5225225_chunk3_1,English,Slovenian
5225225_chunk3_2,English,Dutch
5225225_chunk4_0,English,Slovenian
5225225_chunk4_1,English,Finish
5225225_chunk4_2,English,German
5225225_chunk4_3,English,German
5225225_chunk5_0,English,Slovenian
5225225_chunk5_1,English,English
5225225_chunk5_2,English,Slovenian
5225225_chunk6_0,English,Slovenian
5225225_chunk6_1,English,Croatian
5225225_chunk6_2,English,Slovenian
5225225_chunk7_0,English,German
5225225_chunk7_1,English,Slovenian
5225225_chunk7_2,English,Slovenian
5225225_chunk8_0,English,German
5225225_chunk8_1,English,German
5225225_chunk8_2,English,Slovenian
5225225_chunk9_0,English,Croatian
5225225_chunk9_1,English,Slovenian
5225225_chunk9_2,English,Slovenian
75962410687_chunk10_0,German,English
75962410687_chunk10_1,German,French
75962410687_chunk10_2,German,English
75962410687_chunk11_0,German,English
75962410687_chunk11_1,German,Dutch
75962410687_chunk11_2,German,English
75962410687_chunk11_3,German,Italian
75962410687_chunk12_0,German,English
75962410687_chunk12_1,German,English
75962410687_chunk12_2,German,English
75962410687_chunk13_0,German,English
75962410687_chunk13_1,German,Swedish
75962410687_chunk13_2,German,Slovenian
75962410687_chunk14_0,German,English
75962410687_chunk14_1,German,English
75962410687_chunk14_2,German,English
75962410687_chunk14_3,German,English
75962410687_chunk15_0,German,English
75962410687_chunk15_1,German,English
75962410687_chunk15_2,German,English
75962410687_chunk15_3,German,Russian
75962410687_chunk16_0,German,Swedish
75962410687_chunk16_1,German,English
75962410687_chunk16_2,German,Czech
75962410687_chunk17_0,German,English
75962410687_chunk17_1,German,English
75962410687_chunk17_2,German,Swedish
75962410687_chunk1_0,German,English
75962410687_chunk1_1,German,English
75962410687_chunk1_2,German,German
75962410687_chunk2_0,German,English
75962410687_chunk2_1,German,English
75962410687_chunk2_2,German,English
75962410687_chunk3_0,German,Russian
75962410687_chunk3_1,German,English
75962410687_chunk3_2,German,Finish
75962410687_chunk3_3,German,Slovenian
75962410687_chunk4_0,German,English
75962410687_chunk4_1,German,Russian
75962410687_chunk4_2,German,Swedish
75962410687_chunk4_3,German,Swedish
75962410687_chunk5_0,German,English
75962410687_chunk5_1,German,French
75962410687_chunk5_2,German,English
75962410687_chunk6_0,German,English
75962410687_chunk6_1,German,Dutch
75962410687_chunk6_2,German,Portuguese
75962410687_chunk7_0,German,Slovenian
75962410687_chunk7_1,German,English
75962410687_chunk7_2,German,French
75962410687_chunk8_0,German,English
75962410687_chunk8_1,German,Dutch
75962410687_chunk8_2,German,Swedish
75962410687_chunk9_0,German,Dutch
75962410687_chunk9_1,German,English
75962410687_chunk9_2,German,Swedish
93a726d_chunk1_0,Finish,Finish
93a726d_chunk1_1,Finish,Finish
93a726d_chunk1_2,Finish,Finish
93a726d_chunk2_0,Finish,Slovenian
93a726d_chunk2_1,Finish,Finish
93a726d_chunk2_2,Finish,Finish
ANAL_McDICK_RAPE_chunk10_0,English,German
ANAL_McDICK_RAPE_chunk10_1,English,English
ANAL_McDICK_RAPE_chunk10_2,English,English
ANAL_McDICK_RAPE_chunk10_3,English,Slovenian
ANAL_McDICK_RAPE_chunk11_0,English,Finish
ANAL_McDICK_RAPE_chunk11_1,English,Greek
ANAL_McDICK_RAPE_chunk11_2,English,Romanian
ANAL_McDICK_RAPE_chunk11_3,English,Croatian
ANAL_McDICK_RAPE_chunk11_4,English,Slovenian
ANAL_McDICK_RAPE_chunk12_0,English,English
ANAL_McDICK_RAPE_chunk12_1,English,Slovenian
ANAL_McDICK_RAPE_chunk12_2,English,Romanian
ANAL_McDICK_RAPE_chunk12_3,English,Italian
ANAL_McDICK_RAPE_chunk13_0,English,Portuguese
ANAL_McDICK_RAPE_chunk13_1,English,Romanian
ANAL_McDICK_RAPE_chunk13_2,English,Norwegian
ANAL_McDICK_RAPE_chunk13_3,English,Dutch
