guid,input,output,logit,input_label,output_label
04337,3.0,3.0,6.403565883636475,GER,GER
00223,9.0,4.0,6.090643882751465,TEL,HIN
07858,1.0,1.0,6.038028240203857,CHI,CHI
01504,10.0,10.0,2.9254467487335205,TUR,TUR
01960,6.0,6.0,5.829522132873535,JPN,JPN
01232,5.0,5.0,7.057804107666016,ITA,ITA
04198,3.0,3.0,6.842319488525391,GER,GER
07772,3.0,3.0,5.937161922454834,GER,GER
04010,7.0,7.0,6.111791133880615,KOR,KOR
04199,7.0,7.0,6.065548896789551,KOR,KOR
06879,2.0,2.0,5.964087009429932,FRE,FRE
08516,8.0,8.0,6.015832901000977,SPA,SPA
01871,6.0,6.0,4.034331321716309,JPN,JPN
06941,10.0,10.0,4.849672317504883,TUR,TUR
10492,4.0,4.0,6.244643211364746,HIN,HIN
02650,10.0,10.0,6.384134292602539,TUR,TUR
04325,0.0,0.0,4.155471324920654,ARA,ARA
02135,5.0,5.0,6.756303310394287,ITA,ITA
00980,10.0,10.0,6.282073974609375,TUR,TUR
04436,8.0,8.0,4.492445468902588,SPA,SPA
02127,2.0,2.0,5.184322834014893,FRE,FRE
03221,4.0,4.0,5.895539283752441,HIN,HIN
03082,5.0,5.0,6.887669086456299,ITA,ITA
05269,1.0,1.0,5.426239967346191,CHI,CHI
11438,4.0,4.0,5.552664756774902,HIN,HIN
02886,10.0,10.0,5.462643146514893,TUR,TUR
05665,1.0,1.0,6.094574451446533,CHI,CHI
12722,8.0,8.0,5.170475482940674,SPA,SPA
08767,5.0,5.0,6.943841457366943,ITA,ITA
04401,9.0,9.0,5.74923849105835,TEL,TEL
09646,5.0,5.0,6.80178689956665,ITA,ITA
13015,1.0,1.0,5.995824813842773,CHI,CHI
06121,9.0,9.0,6.586316108703613,TEL,TEL
03962,2.0,2.0,5.600353717803955,FRE,FRE
10442,0.0,0.0,6.333957195281982,ARA,ARA
03758,1.0,1.0,6.77916955947876,CHI,CHI
03655,1.0,1.0,3.049307107925415,CHI,CHI
02615,4.0,4.0,5.42049503326416,HIN,HIN
10978,3.0,3.0,5.222034454345703,GER,GER
03520,5.0,5.0,7.028745174407959,ITA,ITA
01980,0.0,0.0,3.870708465576172,ARA,ARA
07908,3.0,3.0,6.7458672523498535,GER,GER
11257,1.0,1.0,4.001190185546875,CHI,CHI
02294,0.0,0.0,5.66002893447876,ARA,ARA
04813,5.0,5.0,6.756999492645264,ITA,ITA
06837,10.0,10.0,4.647461891174316,TUR,TUR
06240,4.0,9.0,5.867950439453125,HIN,TEL
09604,9.0,9.0,6.333524227142334,TEL,TEL
04090,10.0,10.0,4.116861343383789,TUR,TUR
00412,7.0,7.0,5.694774150848389,KOR,KOR
03779,2.0,2.0,5.952023029327393,FRE,FRE
10991,4.0,9.0,3.999035358428955,HIN,TEL
10403,10.0,10.0,5.662518501281738,TUR,TUR
10224,1.0,1.0,6.158918380737305,CHI,CHI
09143,1.0,1.0,5.870364665985107,CHI,CHI
07986,9.0,9.0,6.004845142364502,TEL,TEL
12665,10.0,10.0,4.83123779296875,TUR,TUR
13163,2.0,2.0,5.903988361358643,FRE,FRE
04446,10.0,10.0,4.744117736816406,TUR,TUR
12756,4.0,4.0,6.02220344543457,HIN,HIN
04225,2.0,2.0,6.1305012702941895,FRE,FRE
10079,8.0,8.0,5.985335826873779,SPA,SPA
00072,6.0,6.0,4.483620643615723,JPN,JPN
12609,8.0,8.0,6.145028114318848,SPA,SPA
08241,1.0,1.0,6.427447319030762,CHI,CHI
04987,2.0,2.0,5.806727886199951,FRE,FRE
07806,0.0,0.0,4.564633846282959,ARA,ARA
10116,8.0,8.0,5.658862113952637,SPA,SPA
06000,7.0,7.0,5.455266952514648,KOR,KOR
12869,6.0,6.0,6.047770977020264,JPN,JPN
07636,6.0,6.0,5.872560501098633,JPN,JPN
02709,9.0,9.0,6.460516929626465,TEL,TEL
03447,0.0,0.0,5.268614768981934,ARA,ARA
03270,10.0,10.0,6.30421257019043,TUR,TUR
07559,1.0,1.0,6.205352783203125,CHI,CHI
06623,10.0,10.0,6.46251106262207,TUR,TUR
01530,4.0,4.0,5.864803791046143,HIN,HIN
10367,6.0,7.0,5.543293476104736,JPN,KOR
03025,3.0,5.0,4.675412654876709,GER,ITA
09362,10.0,10.0,6.0538835525512695,TUR,TUR
13192,1.0,1.0,6.9071431159973145,CHI,CHI
12916,6.0,6.0,5.550850868225098,JPN,JPN
04099,3.0,3.0,6.746772766113281,GER,GER
06725,3.0,3.0,6.9336347579956055,GER,GER
04149,4.0,4.0,5.283731460571289,HIN,HIN
03735,9.0,9.0,5.876797199249268,TEL,TEL
07243,6.0,6.0,4.493113040924072,JPN,JPN
01163,2.0,2.0,5.082901477813721,FRE,FRE
03822,4.0,4.0,6.211086750030518,HIN,HIN
05506,8.0,8.0,6.27931547164917,SPA,SPA
09796,0.0,0.0,6.308207988739014,ARA,ARA
12931,0.0,0.0,6.461812496185303,ARA,ARA
09029,0.0,0.0,5.89260196685791,ARA,ARA
04681,7.0,7.0,5.676900863647461,KOR,KOR
08534,5.0,5.0,6.632314682006836,ITA,ITA
03898,10.0,10.0,6.480839729309082,TUR,TUR
07409,2.0,2.0,6.3496785163879395,FRE,FRE
00063,7.0,7.0,5.631367206573486,KOR,KOR
01838,6.0,7.0,4.336575031280518,JPN,KOR
03415,2.0,2.0,4.796546459197998,FRE,FRE
00050,6.0,6.0,5.389254570007324,JPN,JPN
03927,3.0,3.0,4.377336502075195,GER,GER
03533,2.0,2.0,6.066986560821533,FRE,FRE
12284,5.0,5.0,6.644063472747803,ITA,ITA
01457,6.0,7.0,4.882500171661377,JPN,KOR
08714,10.0,10.0,6.161677360534668,TUR,TUR
04546,1.0,1.0,6.494779109954834,CHI,CHI
04552,7.0,7.0,6.202048301696777,KOR,KOR
04841,2.0,2.0,5.677225589752197,FRE,FRE
07738,4.0,4.0,6.016664505004883,HIN,HIN
09765,10.0,10.0,6.8390398025512695,TUR,TUR
