guid,input,output,logit,input_label,output_label
04337,3.0,3.0,6.482274055480957,GER,GER
00223,5.0,5.0,7.085681915283203,ITA,ITA
07858,3.0,3.0,6.702593803405762,GER,GER
01504,5.0,5.0,6.188899517059326,ITA,ITA
01960,7.0,7.0,5.953872203826904,KOR,KOR
01232,7.0,7.0,5.62698221206665,KOR,KOR
04198,7.0,7.0,6.47661828994751,KOR,KOR
07772,9.0,9.0,6.470184803009033,TEL,TEL
04010,9.0,9.0,4.93784761428833,TEL,TEL
04199,3.0,3.0,5.843915939331055,GER,GER
06879,6.0,6.0,4.421879768371582,JPN,JPN
08516,1.0,1.0,6.229279041290283,CHI,CHI
01871,5.0,5.0,6.95916223526001,ITA,ITA
06941,5.0,5.0,5.389982223510742,ITA,ITA
10492,1.0,1.0,6.158966064453125,CHI,CHI
02650,7.0,7.0,5.91402530670166,KOR,KOR
04325,2.0,2.0,6.037169933319092,FRE,FRE
02135,3.0,3.0,6.9487810134887695,GER,GER
00980,0.0,0.0,5.137409210205078,ARA,ARA
04436,1.0,1.0,4.616361618041992,CHI,CHI
02127,3.0,3.0,6.352018356323242,GER,GER
03221,4.0,4.0,5.457290172576904,HIN,HIN
03082,5.0,5.0,7.235645294189453,ITA,ITA
05269,4.0,4.0,6.02617073059082,HIN,HIN
11438,1.0,1.0,6.017706871032715,CHI,CHI
02886,1.0,1.0,6.277550220489502,CHI,CHI
05665,9.0,9.0,6.472146987915039,TEL,TEL
12722,1.0,1.0,6.260758876800537,CHI,CHI
08767,0.0,0.0,6.643259048461914,ARA,ARA
04401,1.0,1.0,6.276681423187256,CHI,CHI
09646,2.0,2.0,4.171311378479004,FRE,FRE
13015,1.0,1.0,6.584436416625977,CHI,CHI
06121,3.0,3.0,6.393710136413574,GER,GER
03962,5.0,5.0,6.301987648010254,ITA,ITA
10442,3.0,3.0,6.600382328033447,GER,GER
03758,8.0,8.0,5.843259811401367,SPA,SPA
03655,6.0,6.0,4.770862579345703,JPN,JPN
02615,0.0,0.0,6.055228233337402,ARA,ARA
10978,6.0,6.0,5.62154483795166,JPN,JPN
03520,5.0,5.0,6.71746826171875,ITA,ITA
01980,0.0,0.0,6.43521785736084,ARA,ARA
07908,6.0,6.0,5.235202789306641,JPN,JPN
11257,8.0,8.0,5.870158672332764,SPA,SPA
02294,6.0,6.0,5.52536678314209,JPN,JPN
04813,8.0,8.0,5.901286602020264,SPA,SPA
06837,5.0,5.0,6.64442253112793,ITA,ITA
06240,1.0,1.0,5.97197961807251,CHI,CHI
09604,5.0,5.0,6.926085948944092,ITA,ITA
04090,2.0,2.0,5.6235809326171875,FRE,FRE
00412,10.0,10.0,5.819638252258301,TUR,TUR
03779,7.0,6.0,5.601424217224121,KOR,JPN
10991,8.0,8.0,6.476357936859131,SPA,SPA
10403,10.0,10.0,6.051642894744873,TUR,TUR
10224,1.0,1.0,6.631114959716797,CHI,CHI
09143,4.0,4.0,5.359334468841553,HIN,HIN
07986,2.0,2.0,5.490002632141113,FRE,FRE
12665,9.0,9.0,5.714949131011963,TEL,TEL
13163,4.0,4.0,6.067931175231934,HIN,HIN
04446,10.0,10.0,6.989621162414551,TUR,TUR
12756,4.0,4.0,5.121250629425049,HIN,HIN
04225,9.0,9.0,5.898118495941162,TEL,TEL
10079,4.0,4.0,5.705009460449219,HIN,HIN
00072,8.0,8.0,6.194754123687744,SPA,SPA
12609,4.0,4.0,5.654008865356445,HIN,HIN
08241,1.0,1.0,6.2311296463012695,CHI,CHI
04987,8.0,8.0,6.215642929077148,SPA,SPA
07806,6.0,6.0,6.090322971343994,JPN,JPN
10116,9.0,9.0,5.499438285827637,TEL,TEL
06000,5.0,5.0,5.907966613769531,ITA,ITA
12869,5.0,5.0,5.291270732879639,ITA,ITA
07636,3.0,3.0,6.5175909996032715,GER,GER
02709,2.0,2.0,5.762718200683594,FRE,FRE
03447,1.0,1.0,6.676474094390869,CHI,CHI
03270,9.0,9.0,5.855964660644531,TEL,TEL
07559,8.0,8.0,6.538824081420898,SPA,SPA
06623,3.0,3.0,6.590325355529785,GER,GER
01530,2.0,2.0,6.101792812347412,FRE,FRE
10367,9.0,9.0,5.921051979064941,TEL,TEL
03025,3.0,3.0,6.060357093811035,GER,GER
09362,1.0,1.0,6.2955780029296875,CHI,CHI
13192,4.0,4.0,5.790202617645264,HIN,HIN
12916,0.0,0.0,5.436410903930664,ARA,ARA
04099,6.0,6.0,3.0224764347076416,JPN,JPN
06725,1.0,1.0,6.655109405517578,CHI,CHI
04149,10.0,10.0,6.433309078216553,TUR,TUR
03735,10.0,10.0,5.990500450134277,TUR,TUR
07243,0.0,0.0,6.530278205871582,ARA,ARA
01163,1.0,1.0,5.638519287109375,CHI,CHI
03822,9.0,4.0,5.193609714508057,TEL,HIN
05506,8.0,8.0,6.222081184387207,SPA,SPA
09796,6.0,6.0,6.2052788734436035,JPN,JPN
12931,0.0,0.0,5.535869598388672,ARA,ARA
09029,0.0,0.0,5.813617706298828,ARA,ARA
04681,0.0,0.0,5.774588584899902,ARA,ARA
08534,0.0,0.0,6.2221174240112305,ARA,ARA
03898,8.0,8.0,6.372209072113037,SPA,SPA
07409,0.0,0.0,6.321884632110596,ARA,ARA
00063,5.0,5.0,5.845898628234863,ITA,ITA
01838,4.0,9.0,5.988847255706787,HIN,TEL
03415,8.0,8.0,6.013797760009766,SPA,SPA
00050,4.0,4.0,5.88945198059082,HIN,HIN
03927,3.0,3.0,6.576479911804199,GER,GER
03533,1.0,1.0,5.959810256958008,CHI,CHI
12284,3.0,3.0,7.02467155456543,GER,GER
01457,10.0,10.0,5.9133782386779785,TUR,TUR
08714,10.0,10.0,6.333026885986328,TUR,TUR
04546,7.0,6.0,4.179088115692139,KOR,JPN
04552,8.0,8.0,6.196300029754639,SPA,SPA
04841,8.0,8.0,5.810059547424316,SPA,SPA
07738,7.0,7.0,5.988898277282715,KOR,KOR
09765,1.0,1.0,6.126979827880859,CHI,CHI
03380,5.0,5.0,5.632124900817871,ITA,ITA
06523,0.0,0.0,6.860754489898682,ARA,ARA
11624,7.0,7.0,5.100985527038574,KOR,KOR
08736,5.0,5.0,7.013522624969482,ITA,ITA
05098,0.0,0.0,6.223875045776367,ARA,ARA
02618,0.0,0.0,6.210167407989502,ARA,ARA
08108,0.0,0.0,4.610663414001465,ARA,ARA
07262,5.0,5.0,6.2113447189331055,ITA,ITA
06895,0.0,0.0,6.9615325927734375,ARA,ARA
12469,0.0,0.0,6.713779449462891,ARA,ARA
01466,3.0,3.0,6.406826972961426,GER,GER
13141,0.0,0.0,6.026404857635498,ARA,ARA
05833,9.0,9.0,5.765190124511719,TEL,TEL
11444,7.0,7.0,5.901300430297852,KOR,KOR
01795,3.0,3.0,6.439263820648193,GER,GER
03791,3.0,3.0,6.590047836303711,GER,GER
02063,8.0,8.0,6.342493534088135,SPA,SPA
12134,8.0,8.0,5.713163375854492,SPA,SPA
08300,4.0,4.0,5.838014602661133,HIN,HIN
08305,9.0,9.0,6.052649021148682,TEL,TEL
04098,7.0,7.0,5.675553798675537,KOR,KOR
11461,0.0,0.0,4.992216110229492,ARA,ARA
08076,0.0,0.0,6.841318130493164,ARA,ARA
05227,10.0,10.0,6.7012786865234375,TUR,TUR
09395,1.0,1.0,6.566086769104004,CHI,CHI
02776,4.0,4.0,5.462297439575195,HIN,HIN
08541,6.0,6.0,4.72335147857666,JPN,JPN
12620,9.0,9.0,6.013646125793457,TEL,TEL
00621,10.0,10.0,6.258821487426758,TUR,TUR
11689,3.0,3.0,6.24783992767334,GER,GER
00555,4.0,4.0,5.560084342956543,HIN,HIN
06716,1.0,1.0,6.225310325622559,CHI,CHI
00419,3.0,3.0,6.970202445983887,GER,GER
09484,10.0,10.0,6.3050312995910645,TUR,TUR
02756,6.0,6.0,5.981827259063721,JPN,JPN
10877,9.0,9.0,5.986750602722168,TEL,TEL
12380,8.0,8.0,5.493548393249512,SPA,SPA
00124,10.0,10.0,6.16164493560791,TUR,TUR
07723,7.0,7.0,6.070898532867432,KOR,KOR
03762,2.0,2.0,6.111593246459961,FRE,FRE
07372,2.0,5.0,4.03122091293335,FRE,ITA
08958,10.0,10.0,6.4717020988464355,TUR,TUR
05280,6.0,6.0,5.7196245193481445,JPN,JPN
04080,7.0,1.0,4.741114616394043,KOR,CHI
09011,10.0,10.0,6.488580226898193,TUR,TUR
01271,10.0,10.0,6.520463466644287,TUR,TUR
08718,0.0,0.0,6.509191513061523,ARA,ARA
03747,3.0,3.0,5.97115421295166,GER,GER
03476,3.0,3.0,5.624573707580566,GER,GER
01553,3.0,3.0,4.598142623901367,GER,GER
12831,1.0,1.0,5.966675281524658,CHI,CHI
11492,10.0,10.0,6.397299766540527,TUR,TUR
11023,7.0,7.0,6.3228654861450195,KOR,KOR
10068,6.0,6.0,6.23500394821167,JPN,JPN
11160,4.0,4.0,5.463000297546387,HIN,HIN
07500,4.0,4.0,5.748979568481445,HIN,HIN
02010,7.0,7.0,5.741950988769531,KOR,KOR
10057,8.0,8.0,4.991179466247559,SPA,SPA
07889,1.0,1.0,6.602846145629883,CHI,CHI
12290,6.0,6.0,5.938216209411621,JPN,JPN
12163,2.0,2.0,6.078864574432373,FRE,FRE
06186,8.0,8.0,6.274913787841797,SPA,SPA
08106,3.0,3.0,6.504080772399902,GER,GER
04819,3.0,3.0,5.380908012390137,GER,GER
05975,4.0,4.0,5.129358291625977,HIN,HIN
11074,0.0,0.0,6.59950065612793,ARA,ARA
05894,4.0,4.0,4.824062347412109,HIN,HIN
12745,5.0,5.0,6.6062211990356445,ITA,ITA
12292,4.0,4.0,5.619401454925537,HIN,HIN
02301,0.0,0.0,4.844671249389648,ARA,ARA
05638,2.0,2.0,6.2777276039123535,FRE,FRE
10815,4.0,4.0,5.818817615509033,HIN,HIN
10704,8.0,8.0,5.937969207763672,SPA,SPA
06790,0.0,0.0,6.602134704589844,ARA,ARA
07843,3.0,3.0,6.399680137634277,GER,GER
12582,10.0,10.0,6.296058654785156,TUR,TUR
06154,10.0,10.0,5.8068952560424805,TUR,TUR
08957,4.0,4.0,5.319551467895508,HIN,HIN
12936,10.0,10.0,3.69816255569458,TUR,TUR
00947,9.0,9.0,5.582840919494629,TEL,TEL
03466,7.0,7.0,5.56130313873291,KOR,KOR
01846,6.0,6.0,5.894749641418457,JPN,JPN
11875,3.0,3.0,6.402373790740967,GER,GER
03143,9.0,4.0,5.020062446594238,TEL,HIN
08357,5.0,5.0,6.561741828918457,ITA,ITA
10962,5.0,5.0,7.032151222229004,ITA,ITA
02401,4.0,4.0,5.9700798988342285,HIN,HIN
