guid,input,output,logit,input_label,output_label
00731,8.0,8.0,6.462216377258301,SPA,SPA
06916,1.0,1.0,6.548480033874512,CHI,CHI
00282,10.0,10.0,5.053633213043213,TUR,TUR
05323,1.0,1.0,6.827456951141357,CHI,CHI
08672,8.0,8.0,6.003975868225098,SPA,SPA
06213,9.0,4.0,2.7836058139801025,TEL,HIN
04291,6.0,6.0,6.165488243103027,JPN,JPN
07236,3.0,3.0,6.174289226531982,GER,GER
01497,8.0,8.0,6.3426923751831055,SPA,SPA
11964,4.0,4.0,5.7091569900512695,HIN,HIN
03094,0.0,0.0,6.908273696899414,ARA,ARA
01817,5.0,5.0,7.1132330894470215,ITA,ITA
06774,9.0,9.0,5.700628280639648,TEL,TEL
11512,10.0,0.0,4.870757102966309,TUR,ARA
09487,8.0,8.0,6.474942684173584,SPA,SPA
04053,3.0,3.0,6.761317729949951,GER,GER
02921,5.0,5.0,6.941641807556152,ITA,ITA
06767,7.0,6.0,5.193276405334473,KOR,JPN
05730,5.0,5.0,6.8811163902282715,ITA,ITA
04306,5.0,5.0,6.997588157653809,ITA,ITA
03588,1.0,10.0,2.657717704772949,CHI,TUR
07795,0.0,0.0,3.42149019241333,ARA,ARA
10312,0.0,0.0,6.803591251373291,ARA,ARA
04329,4.0,0.0,6.164130210876465,HIN,ARA
12185,3.0,3.0,6.47133731842041,GER,GER
05248,10.0,10.0,5.8015947341918945,TUR,TUR
05582,6.0,6.0,6.433505535125732,JPN,JPN
04447,6.0,6.0,3.7083568572998047,JPN,JPN
11191,2.0,2.0,6.28089714050293,FRE,FRE
11756,5.0,5.0,6.20612907409668,ITA,ITA
10530,6.0,6.0,6.08858060836792,JPN,JPN
02263,4.0,9.0,6.334749221801758,HIN,TEL
00693,4.0,4.0,5.60045051574707,HIN,HIN
10908,6.0,6.0,6.393388748168945,JPN,JPN
03624,6.0,6.0,4.693427085876465,JPN,JPN
03005,9.0,9.0,6.265176296234131,TEL,TEL
06209,8.0,8.0,5.994795322418213,SPA,SPA
08760,1.0,6.0,5.858908653259277,CHI,JPN
04261,5.0,5.0,6.8925275802612305,ITA,ITA
04903,1.0,1.0,5.991151809692383,CHI,CHI
01715,0.0,0.0,6.422083377838135,ARA,ARA
07125,10.0,5.0,3.1686716079711914,TUR,ITA
00289,0.0,0.0,6.099147796630859,ARA,ARA
06572,1.0,1.0,6.729177951812744,CHI,CHI
02690,10.0,10.0,5.021048069000244,TUR,TUR
06496,7.0,6.0,5.414852142333984,KOR,JPN
05145,6.0,6.0,6.359742641448975,JPN,JPN
00734,7.0,6.0,5.809441566467285,KOR,JPN
10098,1.0,7.0,5.774608612060547,CHI,KOR
10746,9.0,9.0,5.890434265136719,TEL,TEL
04509,9.0,9.0,5.29801082611084,TEL,TEL
02545,5.0,5.0,6.694709300994873,ITA,ITA
09811,3.0,3.0,5.487995624542236,GER,GER
00056,4.0,4.0,2.755380153656006,HIN,HIN
02014,3.0,3.0,6.279939651489258,GER,GER
05846,10.0,10.0,6.512713432312012,TUR,TUR
12595,9.0,9.0,5.832088470458984,TEL,TEL
01833,7.0,7.0,6.504463195800781,KOR,KOR
09717,7.0,7.0,5.4687700271606445,KOR,KOR
10084,2.0,2.0,5.294405937194824,FRE,FRE
07606,1.0,7.0,5.023440361022949,CHI,KOR
01320,7.0,7.0,6.391561985015869,KOR,KOR
03249,6.0,6.0,6.373227119445801,JPN,JPN
03013,2.0,2.0,5.626425743103027,FRE,FRE
08310,3.0,3.0,6.79154109954834,GER,GER
07369,5.0,5.0,7.237112998962402,ITA,ITA
01079,6.0,6.0,4.920248031616211,JPN,JPN
05436,6.0,6.0,6.103885650634766,JPN,JPN
10164,2.0,2.0,5.265219688415527,FRE,FRE
06702,6.0,6.0,5.792169094085693,JPN,JPN
01136,1.0,1.0,5.653996467590332,CHI,CHI
08339,4.0,4.0,5.8146748542785645,HIN,HIN
07333,4.0,4.0,5.514974117279053,HIN,HIN
00304,2.0,2.0,6.447397708892822,FRE,FRE
