guid,input,output,logit,input_label,output_label
00731,8.0,8.0,10.998725891113281,SPA,SPA
06916,1.0,1.0,10.603702545166016,CHI,CHI
00282,10.0,10.0,8.449728965759277,TUR,TUR
05323,1.0,1.0,11.367006301879883,CHI,CHI
08672,8.0,8.0,10.800642013549805,SPA,SPA
06213,9.0,4.0,5.097771167755127,TEL,HIN
04291,6.0,6.0,9.760064125061035,JPN,JPN
07236,3.0,3.0,9.775779724121094,GER,GER
01497,8.0,8.0,9.931498527526855,SPA,SPA
11964,4.0,4.0,8.91193675994873,HIN,HIN
03094,0.0,0.0,8.992921829223633,ARA,ARA
01817,5.0,5.0,11.860016822814941,ITA,ITA
06774,9.0,9.0,7.695978164672852,TEL,TEL
11512,10.0,3.0,6.2195305824279785,TUR,GER
09487,8.0,8.0,10.86113166809082,SPA,SPA
04053,3.0,3.0,10.80520248413086,GER,GER
02921,5.0,5.0,11.898152351379395,ITA,ITA
06767,7.0,7.0,10.181147575378418,KOR,KOR
05730,5.0,5.0,10.202873229980469,ITA,ITA
04306,5.0,5.0,11.101472854614258,ITA,ITA
03588,1.0,0.0,5.909933090209961,CHI,ARA
07795,0.0,0.0,6.674493789672852,ARA,ARA
10312,0.0,0.0,10.640518188476562,ARA,ARA
04329,4.0,0.0,8.655813217163086,HIN,ARA
12185,3.0,3.0,11.087005615234375,GER,GER
05248,10.0,10.0,6.998434066772461,TUR,TUR
05582,6.0,6.0,10.121166229248047,JPN,JPN
04447,6.0,7.0,9.643600463867188,JPN,KOR
11191,2.0,2.0,9.796518325805664,FRE,FRE
11756,5.0,5.0,10.794549942016602,ITA,ITA
10530,6.0,6.0,9.976762771606445,JPN,JPN
02263,4.0,9.0,9.370796203613281,HIN,TEL
00693,4.0,4.0,9.415088653564453,HIN,HIN
10908,6.0,6.0,10.184281349182129,JPN,JPN
03624,6.0,6.0,10.231965065002441,JPN,JPN
03005,9.0,4.0,8.319215774536133,TEL,HIN
06209,8.0,8.0,10.786825180053711,SPA,SPA
08760,1.0,7.0,6.704519271850586,CHI,KOR
04261,5.0,6.0,7.966891288757324,ITA,JPN
04903,1.0,1.0,9.224906921386719,CHI,CHI
01715,0.0,0.0,10.557806015014648,ARA,ARA
07125,10.0,0.0,8.18499755859375,TUR,ARA
00289,0.0,0.0,11.2088623046875,ARA,ARA
06572,1.0,1.0,11.249478340148926,CHI,CHI
02690,10.0,10.0,7.656698226928711,TUR,TUR
06496,7.0,7.0,8.483716011047363,KOR,KOR
05145,6.0,6.0,10.339027404785156,JPN,JPN
00734,7.0,7.0,10.11862564086914,KOR,KOR
10098,1.0,7.0,10.295965194702148,CHI,KOR
10746,9.0,9.0,10.293508529663086,TEL,TEL
04509,9.0,4.0,6.891201019287109,TEL,HIN
02545,5.0,5.0,11.788148880004883,ITA,ITA
09811,3.0,3.0,10.572362899780273,GER,GER
00056,4.0,4.0,5.991090774536133,HIN,HIN
02014,3.0,3.0,10.481167793273926,GER,GER
05846,10.0,10.0,10.597707748413086,TUR,TUR
12595,9.0,9.0,9.9044771194458,TEL,TEL
01833,7.0,7.0,11.228267669677734,KOR,KOR
09717,7.0,7.0,10.332469940185547,KOR,KOR
10084,2.0,2.0,7.805747985839844,FRE,FRE
07606,1.0,7.0,9.716230392456055,CHI,KOR
01320,7.0,7.0,10.844715118408203,KOR,KOR
03249,6.0,6.0,9.927050590515137,JPN,JPN
03013,2.0,2.0,9.045740127563477,FRE,FRE
08310,3.0,3.0,9.322099685668945,GER,GER
07369,5.0,5.0,11.84398078918457,ITA,ITA
01079,6.0,6.0,9.641790390014648,JPN,JPN
05436,6.0,6.0,9.896247863769531,JPN,JPN
10164,2.0,2.0,8.814501762390137,FRE,FRE
06702,6.0,6.0,9.719600677490234,JPN,JPN
01136,1.0,1.0,10.28835678100586,CHI,CHI
08339,4.0,4.0,9.84876823425293,HIN,HIN
07333,4.0,4.0,8.174349784851074,HIN,HIN
00304,2.0,2.0,10.706475257873535,FRE,FRE
00350,1.0,7.0,6.530564785003662,CHI,KOR
04233,6.0,6.0,10.187581062316895,JPN,JPN
11603,6.0,6.0,6.995108127593994,JPN,JPN
00158,2.0,2.0,6.806517601013184,FRE,FRE
09630,8.0,8.0,10.210535049438477,SPA,SPA
01314,8.0,8.0,8.998825073242188,SPA,SPA
06451,0.0,0.0,9.564911842346191,ARA,ARA
02318,0.0,0.0,10.565736770629883,ARA,ARA
07884,8.0,8.0,9.629761695861816,SPA,SPA
04966,8.0,8.0,10.595766067504883,SPA,SPA
09424,2.0,2.0,9.575462341308594,FRE,FRE
09178,1.0,7.0,7.397027015686035,CHI,KOR
02888,4.0,9.0,7.620506286621094,HIN,TEL
06537,1.0,0.0,8.747314453125,CHI,ARA
06649,1.0,1.0,10.561771392822266,CHI,CHI
07217,4.0,4.0,9.90234375,HIN,HIN
01343,4.0,4.0,9.66951847076416,HIN,HIN
07788,5.0,5.0,11.64544677734375,ITA,ITA
07835,6.0,6.0,9.429269790649414,JPN,JPN
10083,9.0,9.0,10.827348709106445,TEL,TEL
10863,1.0,1.0,11.153419494628906,CHI,CHI
01531,1.0,1.0,11.264945983886719,CHI,CHI
04321,10.0,10.0,8.953513145446777,TUR,TUR
