guid,input,output,logit,input_label,output_label
04337,1.0,1.0,11.042404174804688,CHI,CHI
00223,3.0,3.0,10.315898895263672,GER,GER
07858,6.0,6.0,10.313333511352539,JPN,JPN
01504,5.0,5.0,11.028836250305176,ITA,ITA
01960,1.0,1.0,11.554757118225098,CHI,CHI
01232,10.0,10.0,10.315655708312988,TUR,TUR
04198,8.0,8.0,6.884453773498535,SPA,SPA
07772,2.0,2.0,7.031704425811768,FRE,FRE
04010,5.0,5.0,11.275360107421875,ITA,ITA
04199,0.0,0.0,9.669099807739258,ARA,ARA
06879,4.0,4.0,8.82766056060791,HIN,HIN
08516,1.0,1.0,11.159869194030762,CHI,CHI
01871,10.0,10.0,9.678080558776855,TUR,TUR
06941,0.0,0.0,10.638205528259277,ARA,ARA
10492,8.0,8.0,10.043009757995605,SPA,SPA
02650,4.0,4.0,10.52160930633545,HIN,HIN
04325,5.0,5.0,12.399703025817871,ITA,ITA
02135,2.0,2.0,10.24370288848877,FRE,FRE
00980,6.0,6.0,10.925248146057129,JPN,JPN
04436,4.0,4.0,9.648983001708984,HIN,HIN
02127,0.0,0.0,10.793821334838867,ARA,ARA
03221,6.0,6.0,10.753092765808105,JPN,JPN
03082,8.0,8.0,9.702274322509766,SPA,SPA
05269,4.0,4.0,9.557950019836426,HIN,HIN
11438,8.0,8.0,9.926962852478027,SPA,SPA
02886,9.0,9.0,10.8699369430542,TEL,TEL
05665,8.0,8.0,9.65466022491455,SPA,SPA
12722,4.0,4.0,9.821662902832031,HIN,HIN
08767,0.0,0.0,8.28837776184082,ARA,ARA
04401,1.0,1.0,11.228686332702637,CHI,CHI
09646,1.0,1.0,11.065250396728516,CHI,CHI
13015,2.0,2.0,10.479150772094727,FRE,FRE
06121,0.0,0.0,9.304211616516113,ARA,ARA
03962,0.0,0.0,10.886089324951172,ARA,ARA
10442,10.0,10.0,9.790057182312012,TUR,TUR
03758,1.0,1.0,9.646207809448242,CHI,CHI
03655,9.0,9.0,10.292614936828613,TEL,TEL
02615,7.0,7.0,11.169271469116211,KOR,KOR
10978,3.0,3.0,8.604069709777832,GER,GER
03520,5.0,5.0,11.177145957946777,ITA,ITA
01980,7.0,7.0,8.168051719665527,KOR,KOR
07908,4.0,4.0,9.156828880310059,HIN,HIN
11257,8.0,8.0,9.828207015991211,SPA,SPA
02294,1.0,1.0,10.828689575195312,CHI,CHI
04813,9.0,9.0,8.204745292663574,TEL,TEL
06837,0.0,0.0,9.73034381866455,ARA,ARA
06240,7.0,7.0,11.187679290771484,KOR,KOR
09604,10.0,10.0,10.659468650817871,TUR,TUR
04090,8.0,8.0,7.9952850341796875,SPA,SPA
00412,0.0,0.0,8.972126960754395,ARA,ARA
03779,5.0,5.0,10.909605979919434,ITA,ITA
10991,9.0,9.0,10.750961303710938,TEL,TEL
10403,9.0,9.0,10.637592315673828,TEL,TEL
10224,3.0,3.0,9.208610534667969,GER,GER
09143,4.0,4.0,8.886850357055664,HIN,HIN
07986,4.0,4.0,9.147984504699707,HIN,HIN
12665,7.0,7.0,9.79520320892334,KOR,KOR
13163,6.0,6.0,10.50542163848877,JPN,JPN
04446,0.0,0.0,10.419445037841797,ARA,ARA
12756,8.0,8.0,10.355350494384766,SPA,SPA
04225,1.0,1.0,10.231337547302246,CHI,CHI
10079,9.0,9.0,10.752947807312012,TEL,TEL
00072,4.0,4.0,10.351035118103027,HIN,HIN
12609,7.0,7.0,9.704599380493164,KOR,KOR
08241,5.0,5.0,10.664892196655273,ITA,ITA
04987,9.0,9.0,10.554716110229492,TEL,TEL
07806,1.0,1.0,10.143848419189453,CHI,CHI
10116,9.0,9.0,10.98779010772705,TEL,TEL
06000,8.0,8.0,10.075460433959961,SPA,SPA
12869,2.0,2.0,7.980092525482178,FRE,FRE
07636,8.0,8.0,9.514334678649902,SPA,SPA
02709,1.0,1.0,11.008036613464355,CHI,CHI
03447,5.0,5.0,9.78166389465332,ITA,ITA
03270,0.0,0.0,10.951215744018555,ARA,ARA
07559,6.0,6.0,10.85702896118164,JPN,JPN
06623,7.0,7.0,10.150245666503906,KOR,KOR
01530,2.0,2.0,10.299756050109863,FRE,FRE
10367,2.0,2.0,10.415229797363281,FRE,FRE
03025,0.0,0.0,10.357708930969238,ARA,ARA
09362,4.0,4.0,9.643858909606934,HIN,HIN
13192,0.0,0.0,5.892553329467773,ARA,ARA
12916,7.0,7.0,9.404095649719238,KOR,KOR
04099,5.0,5.0,10.958111763000488,ITA,ITA
06725,5.0,5.0,10.25688362121582,ITA,ITA
04149,3.0,3.0,9.8463773727417,GER,GER
03735,5.0,5.0,9.10012149810791,ITA,ITA
07243,7.0,7.0,8.972857475280762,KOR,KOR
01163,9.0,9.0,9.75625991821289,TEL,TEL
03822,2.0,2.0,10.601580619812012,FRE,FRE
05506,0.0,0.0,11.3545503616333,ARA,ARA
09796,10.0,10.0,9.673434257507324,TUR,TUR
12931,0.0,0.0,8.895438194274902,ARA,ARA
09029,7.0,7.0,9.954442024230957,KOR,KOR
04681,6.0,6.0,11.231562614440918,JPN,JPN
08534,4.0,4.0,9.76530647277832,HIN,HIN
03898,10.0,3.0,2.2448980808258057,TUR,GER
07409,2.0,2.0,9.076985359191895,FRE,FRE
00063,3.0,3.0,9.671136856079102,GER,GER
01838,1.0,1.0,10.715699195861816,CHI,CHI
03415,9.0,9.0,10.758187294006348,TEL,TEL
00050,8.0,8.0,9.5096435546875,SPA,SPA
03927,3.0,3.0,10.06822681427002,GER,GER
03533,8.0,8.0,9.610745429992676,SPA,SPA
12284,8.0,8.0,10.266945838928223,SPA,SPA
01457,6.0,6.0,10.374698638916016,JPN,JPN
08714,6.0,6.0,10.717419624328613,JPN,JPN
04546,1.0,1.0,10.865440368652344,CHI,CHI
04552,3.0,3.0,5.892460346221924,GER,GER
04841,7.0,7.0,9.010884284973145,KOR,KOR
07738,5.0,5.0,11.22364330291748,ITA,ITA
09765,7.0,7.0,10.297433853149414,KOR,KOR
03380,7.0,7.0,11.396224021911621,KOR,KOR
06523,3.0,3.0,9.33586311340332,GER,GER
11624,4.0,4.0,7.571187973022461,HIN,HIN
08736,3.0,3.0,10.029980659484863,GER,GER
05098,5.0,5.0,10.549124717712402,ITA,ITA
02618,8.0,8.0,8.231358528137207,SPA,SPA
08108,0.0,0.0,10.258566856384277,ARA,ARA
07262,8.0,8.0,9.247335433959961,SPA,SPA
06895,10.0,10.0,9.1671142578125,TUR,TUR
12469,2.0,2.0,4.6183576583862305,FRE,FRE
01466,3.0,3.0,9.072999954223633,GER,GER
13141,6.0,6.0,10.739313125610352,JPN,JPN
05833,0.0,0.0,10.933979034423828,ARA,ARA
11444,8.0,8.0,8.674215316772461,SPA,SPA
01795,4.0,4.0,9.586177825927734,HIN,HIN
03791,3.0,3.0,10.105646133422852,GER,GER
02063,5.0,5.0,11.531364440917969,ITA,ITA
12134,10.0,0.0,3.010467767715454,TUR,ARA
08300,1.0,1.0,11.11414623260498,CHI,CHI
08305,5.0,5.0,11.477909088134766,ITA,ITA
04098,0.0,0.0,10.525429725646973,ARA,ARA
11461,8.0,8.0,8.686776161193848,SPA,SPA
08076,4.0,4.0,9.501936912536621,HIN,HIN
05227,7.0,7.0,10.667799949645996,KOR,KOR
09395,6.0,6.0,9.963030815124512,JPN,JPN
02776,2.0,2.0,10.039995193481445,FRE,FRE
08541,4.0,4.0,9.576164245605469,HIN,HIN
12620,9.0,9.0,10.839906692504883,TEL,TEL
00621,10.0,10.0,10.823237419128418,TUR,TUR
11689,9.0,9.0,10.81253719329834,TEL,TEL
00555,0.0,10.0,4.415792942047119,ARA,TUR
06716,5.0,5.0,10.053605079650879,ITA,ITA
00419,1.0,1.0,10.816916465759277,CHI,CHI
09484,9.0,9.0,9.168848037719727,TEL,TEL
02756,5.0,5.0,11.32086181640625,ITA,ITA
10877,1.0,1.0,10.900989532470703,CHI,CHI
12380,7.0,7.0,10.518765449523926,KOR,KOR
00124,3.0,3.0,9.588253021240234,GER,GER
07723,3.0,3.0,9.751410484313965,GER,GER
03762,8.0,8.0,10.419092178344727,SPA,SPA
07372,0.0,0.0,9.659832000732422,ARA,ARA
08958,0.0,0.0,9.594159126281738,ARA,ARA
05280,10.0,10.0,10.07076358795166,TUR,TUR
04080,6.0,6.0,10.749279975891113,JPN,JPN
09011,4.0,4.0,9.299844741821289,HIN,HIN
01271,8.0,8.0,9.940018653869629,SPA,SPA
08718,8.0,8.0,10.005958557128906,SPA,SPA
03747,4.0,4.0,9.6918363571167,HIN,HIN
03476,7.0,7.0,9.856548309326172,KOR,KOR
01553,0.0,0.0,10.387596130371094,ARA,ARA
12831,0.0,0.0,8.793285369873047,ARA,ARA
11492,6.0,6.0,7.358359336853027,JPN,JPN
11023,7.0,7.0,10.211847305297852,KOR,KOR
10068,9.0,9.0,10.998038291931152,TEL,TEL
11160,2.0,2.0,10.085537910461426,FRE,FRE
07500,8.0,8.0,10.060636520385742,SPA,SPA
02010,0.0,0.0,10.580334663391113,ARA,ARA
10057,4.0,4.0,9.811799049377441,HIN,HIN
07889,10.0,10.0,10.54672622680664,TUR,TUR
12290,3.0,3.0,9.934807777404785,GER,GER
12163,9.0,9.0,11.127483367919922,TEL,TEL
06186,4.0,4.0,10.163403511047363,HIN,HIN
08106,1.0,1.0,12.148904800415039,CHI,CHI
04819,2.0,2.0,9.246192932128906,FRE,FRE
05975,5.0,5.0,11.777374267578125,ITA,ITA
