guid,input,output,input_label,output_label,ARA,CHI,FRE,GER,HIN,ITA,JPN,KOR,SPA,TEL,TUR
00012,3.0,3.0,GER,GER,-1.6875373125076294,-1.6888998746871948,-1.3543517589569092,6.961143493652344,1.3366644382476807,-0.8043081760406494,-1.2968354225158691,-1.2183043956756592,-0.8345876336097717,-0.7968626022338867,0.8478909730911255
00017,10.0,10.0,TUR,TUR,-1.0882103443145752,-2.2216172218322754,-0.6700668931007385,0.7422860264778137,-0.7020629048347473,-1.007447600364685,-1.074458122253418,0.13494130969047546,-0.2073124349117279,-1.323844313621521,7.282552719116211
00021,6.0,6.0,JPN,JPN,-2.018831491470337,-0.008904688991606236,-0.6753166913986206,-1.8716493844985962,-1.4561355113983154,-0.884568989276886,6.777053356170654,2.3696177005767822,-1.9833259582519531,-0.9210024476051331,-0.9360394477844238
00030,4.0,9.0,HIN,TEL,-0.785216748714447,-1.4416996240615845,-1.9517608880996704,-1.1136078834533691,3.8616137504577637,0.016444388777017593,-1.0231164693832397,-1.03821861743927,-1.804682970046997,6.7495808601379395,-1.2252196073532104
00041,9.0,4.0,TEL,HIN,1.3396199941635132,-0.7224946618080139,-1.9677547216415405,-1.3644829988479614,6.227497577667236,-1.9413741827011108,-1.4846616983413696,-1.2097269296646118,-1.33705472946167,3.6806528568267822,-0.686074435710907
00056,4.0,4.0,HIN,HIN,0.6460013389587402,-0.6455444693565369,-1.3844553232192993,-1.8914912939071655,4.3391923904418945,-2.252946615219116,-0.5441731810569763,-1.258683681488037,-1.0946694612503052,2.536611557006836,1.4917347431182861
00069,10.0,10.0,TUR,TUR,0.18159057199954987,-2.408867597579956,-1.7439719438552856,-2.31882643699646,-1.5830827951431274,1.8648982048034668,0.15370170772075653,1.1243406534194946,0.7474490404129028,-1.043697476387024,5.114658832550049
00074,9.0,4.0,TEL,HIN,-0.14604966342449188,-0.6816416382789612,-2.026184320449829,-0.491161972284317,7.030772686004639,-1.8577066659927368,-1.9796698093414307,-1.4591853618621826,-1.781442403793335,3.941377878189087,-0.7645995616912842
00085,3.0,5.0,GER,ITA,-1.5256766080856323,-2.375483989715576,-0.8260846734046936,3.65388822555542,-0.6736056804656982,5.2834391593933105,-0.12145359069108963,-1.623314380645752,-0.1768583059310913,-0.8062120079994202,-0.2539995610713959
00092,2.0,2.0,FRE,FRE,-1.1779946088790894,-0.9107398986816406,7.039250373840332,0.9186916947364807,-1.5049612522125244,0.75174880027771,-1.032486081123352,-1.6809152364730835,0.24238324165344238,-2.1689646244049072,-0.8405745625495911
00108,5.0,5.0,ITA,ITA,-0.8692697286605835,-1.223723292350769,1.7621617317199707,-0.2336198389530182,-2.60235333442688,5.003795146942139,1.7037723064422607,-1.498684048652649,0.4540289342403412,-1.2206600904464722,-0.9510010480880737
